USAF= 007026 , name=WXPOD 7026                    , country=AF , elevation=+7026.0
USAF= 007070 , name=WXPOD 7070                    , country=AF , elevation=+7070.0
USAF= 008403 , name=XM10                          , country=   , elevation=       
USAF= 008411 , name=XM20                          , country=   , elevation=       
USAF= 008414 , name=XM18                          , country=   , elevation=       
USAF= 008415 , name=XM21                          , country=   , elevation=       
USAF= 008416 , name=XM22                          , country=   , elevation=       
USAF= 008418 , name=XM24                          , country=   , elevation=       
USAF= 008421 , name=XM26                          , country=   , elevation=       
USAF= 010000 , name=BOGUS NORWAY                  , country=NO , elevation=       
USAF= 010010 , name=JAN MAYEN(NOR-NAVY)           , country=NO , elevation=+0009.0
USAF= 010013 , name=ROST                          , country=NO , elevation=       
USAF= 010014 , name=SORSTOKKEN                    , country=NO , elevation=+0048.8
USAF= 010015 , name=BRINGELAND                    , country=NO , elevation=+0327.0
USAF= 010016 , name=RORVIK/RYUM                   , country=NO , elevation=+0014.0
USAF= 010017 , name=FRIGG                         , country=NO , elevation=+0048.0
USAF= 010020 , name=VERLEGENHUKEN                 , country=NO , elevation=+0008.0
USAF= 010030 , name=HORNSUND                      , country=NO , elevation=+0012.0
USAF= 010040 , name=NY-ALESUND II                 , country=NO , elevation=+0008.0
USAF= 010050 , name=ISFJORD RADIO                 , country=SV , elevation=+0009.0
USAF= 010060 , name=EDGEOYA                       , country=NO , elevation=+0014.0
USAF= 010070 , name=NY-ALESUND                    , country=SV , elevation=+0007.7
USAF= 010071 , name=LONGYEARBYEN                  , country=SV , elevation=+0037.0
USAF= 010080 , name=LONGYEAR                      , country=SV , elevation=+0026.8
USAF= 010090 , name=KARL XII OYA                  , country=SV , elevation=+0005.0
USAF= 010100 , name=ANDOYA                        , country=NO , elevation=+0013.1
USAF= 010110 , name=KVITOYA                       , country=SV , elevation=+0010.0
USAF= 010120 , name=                              , country=   , elevation=       
USAF= 010140 , name=SENJA-LAUKHELLA               , country=NO , elevation=+0009.0
USAF= 010150 , name=HEKKINGEN FYR                 , country=NO , elevation=+0014.0
